Project,Release date,Due date
"xref:fall2022/30100/30100-2022-project01.adoc[Project 1: Review: Jupyter Lab]",August 22,September 9
"xref:fall2022/30100/30100-2022-project02.adoc[Project 2: Python documentation: part I]",August 25,September 9
"xref:fall2022/30100/30100-2022-project03.adoc[Project 3: Python documentation: part II]",September 8,September 16
"xref:fall2022/30100/30100-2022-project04.adoc[Project 4: Review: part I]",September 15,September 23
xref:fall2022/30100/30100-2022-project05.adoc[Project 5: Testing in Python: part I],September 22,September 30
"xref:fall2022/30100/30100-2022-project06.adoc[Project 6: Testing in Python: part II]",September 29,October 7
xref:fall2022/30100/30100-2022-project07.adoc[Project 7: Review: part II],October 6,October 21
xref:fall2022/30100/30100-2022-project08.adoc[Project 8: Virtual environments & packages: part I],October 20,October 28
xref:fall2022/30100/30100-2022-project09.adoc[Project 9: Virtual environments & packages: part II],October 27,November 4
xref:fall2022/30100/30100-2022-project10.adoc[Project 10: Virtual environments & packages: part III & APIs: part I],November 3,November 11
xref:fall2022/30100/30100-2022-project11.adoc[Project 11: APIs: part II],November 10,November 18
xref:fall2022/30100/30100-2022-project12.adoc[Project 12: APIs: part III],November 17,December 2
xref:fall2022/30100/30100-2022-project13.adoc[Project 13: APIs: part IV],December 1,December 9
